"Prompt_ID","Test_Type","Description","Tool_Call"
"164","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames without a face. Expected: driver_state should be 'no_face' with zero alerts generated. Pass if the state and alerts match the expected output; fail if alerts are generated or state differs.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_14"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""no_face_frame1\"", \""no_face_frame2\""]}""}}]}"
"165","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/ with a corrupt image file. Expected: 400 status code with message 'Could not decode image'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_15"",""type"":""function"",""function"":{""name"":""call_login_endpoint"",""arguments"":""{\""image\"": \""<corrupt_image_data>\""}""}}]}"
"166","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name but missing image. Expected: 400 status code with message 'Missing image_base64'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_16"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Chris Green\"", \""age\"": 28}""}}]}"
"167","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver looking away consistently. Expected: alert_type should be 'distraction' after sufficient frames indicate distraction. Pass if the alert is generated; fail if no alert is generated despite distraction.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_17"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""distraction_frame1\"", \""distraction_frame2\""]}""}}]}"
"168","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/ with a valid image but incorrect driver_id. Expected: 401 status code indicating face not recognized. Pass if the response is 401; fail if any other status code is returned.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_18"",""type"":""function"",""function"":{""name"":""call_login_endpoint"",""arguments"":""{\""driver_id\"": \""wrong_id\"", \""image\"": \""<base64_encoded_image>\""}""}}]}"
"169","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then wait over 300 seconds. Attempt to finalize DL. Expected: 400 status code with message 'Pending registration expired or not found'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_19"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Jordan White\"", \""age\"": 32, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_19_finalize"",""type"":""function"",""function"":{""name"":""call_finalize_dl_endpoint"",""arguments"":""{\""pending_id\"": \""expired_pending_id\""}""}}]}"
"170","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver briefly looking away. Expected: final_state should remain 'normal' due to temporal smoothing. Pass if the state remains 'normal'; fail if it changes to 'distraction'.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_20"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""brief_look_away_frame1\"", \""brief_look_away_frame2\""]}""}}]}"
"171","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a mismatched name DL photo. Expected: 400 status code with message 'Mismatched Name'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_21"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Taylor Blue\"", \""age\"": 29, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_21_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_mismatched_name_dl_image>\""}""}}]}"
"172","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with an unreadable DL number photo. Expected: 400 status code with message 'Could not read DL number from licence'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_22"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Morgan Red\"", \""age\"": 31, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_22_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_unreadable_dl_image>\""}""}}]}"
"173","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver showing signs of fatigue. Expected: alert_type should be 'fatigue' after sufficient frames indicate fatigue. Pass if the alert is generated; fail if no alert is generated despite signs of fatigue.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_23"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""fatigue_frame1\"", \""fatigue_frame2\""]}""}}]}"
"174","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a mismatched age DL photo. Expected: 400 status code with message 'Mismatched Age'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_24"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Jamie Yellow\"", \""age\"": 27, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_24_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_mismatched_age_dl_image>\""}""}}]}"
"175","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver yawning. Expected: alert_type should be 'fatigue' after sufficient frames indicate yawning. Pass if the alert is generated; fail if no alert is generated despite yawning.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_25"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""yawning_frame1\"", \""yawning_frame2\""]}""}}]}"
"176","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a valid DL photo. Expected: 200 status code with driver created and dl_number extracted. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_26"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Pat Purple\"", \""age\"": 33, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_26_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_valid_dl_image>\""}""}}]}"
"177","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver showing signs of sleep. Expected: alert_type should be 'sleep' after sufficient frames indicate sleep. Pass if the alert is generated; fail if no alert is generated despite signs of sleep.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_27"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""sleep_frame1\"", \""sleep_frame2\""]}""}}]}"
"178","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with an invalid DL photo. Expected: 400 status code with verdict not 'valid'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_28"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Casey Orange\"", \""age\"": 34, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_28_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_invalid_dl_image>\""}""}}]}"
"179","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver showing no signs of fatigue, distraction, or sleep. Expected: alert_type should be null and driver_state should be 'normal'. Pass if the state and alerts match the expected output; fail if any alerts are generated.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_29"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""normal_frame1\"", \""normal_frame2\""]}""}}]}"
"180","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a DL photo that has glare. Expected: 400 status code with verdict not 'valid'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_30"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Alex Teal\"", \""age\"": 36, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_30_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_glare_dl_image>\""}""}}]}"
"181","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver showing signs of distraction after calibration. Expected: alert_type should be 'distraction' after sufficient frames indicate distraction. Pass if the alert is generated; fail if no alert is generated despite signs of distraction.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_31"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""post_calibration_distraction_frame1\"", \""post_calibration_distraction_frame2\""]}""}}]}"
"182","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a DL photo that is blurry. Expected: 400 status code with verdict not 'valid'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_32"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Jordan Lime\"", \""age\"": 37, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_32_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_blurry_dl_image>\""}""}}]}"
"183","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver showing signs of fatigue and distraction. Expected: alert_type should be 'distraction' as it takes precedence over fatigue. Pass if the alert is 'distraction'; fail if it is 'fatigue' or no alert is generated.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_33"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""fatigue_distraction_frame1\"", \""fatigue_distraction_frame2\""]}""}}]}"
"184","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a DL photo that is partially obscured. Expected: 400 status code with verdict not 'valid'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_34"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Taylor Cyan\"", \""age\"": 38, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_34_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_obscured_dl_image>\""}""}}]}"
"185","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver showing signs of fatigue and sleep. Expected: alert_type should be 'sleep' as it has the highest priority. Pass if the alert is 'sleep'; fail if it is 'fatigue' or no alert is generated.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_35"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""fatigue_sleep_frame1\"", \""fatigue_sleep_frame2\""]}""}}]}"
"186","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a DL photo that has a watermark. Expected: 400 status code with verdict not 'valid'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_36"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Morgan Indigo\"", \""age\"": 39, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_36_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_watermarked_dl_image>\""}""}}]}"
"187","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver showing signs of fatigue, distraction, and sleep. Expected: alert_type should be 'sleep' as it has the highest priority. Pass if the alert is 'sleep'; fail if it is 'fatigue', 'distraction', or no alert is generated.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_37"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""fatigue_distraction_sleep_frame1\"", \""fatigue_distraction_sleep_frame2\""]}""}}]}"
"188","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a DL photo that is too dark. Expected: 400 status code with verdict not 'valid'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_38"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Casey Violet\"", \""age\"": 40, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_38_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_dark_dl_image>\""}""}}]}"
"189","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver showing signs of fatigue and yawning. Expected: alert_type should be 'fatigue' after sufficient frames indicate fatigue. Pass if the alert is generated; fail if no alert is generated despite signs of fatigue and yawning.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_39"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""fatigue_yawning_frame1\"", \""fatigue_yawning_frame2\""]}""}}]}"
"190","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a DL photo that is too bright. Expected: 400 status code with verdict not 'valid'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_40"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Alex Gold\"", \""age\"": 41, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_40_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_bright_dl_image>\""}""}}]}"
"191","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver showing signs of fatigue and blinking rapidly. Expected: alert_type should be 'fatigue' after sufficient frames indicate fatigue. Pass if the alert is generated; fail if no alert is generated despite signs of fatigue and rapid blinking.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_41"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""fatigue_blinking_frame1\"", \""fatigue_blinking_frame2\""]}""}}]}"
"192","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a DL photo that has a reflection. Expected: 400 status code with verdict not 'valid'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_42"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Jordan Silver\"", \""age\"": 42, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_42_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_reflection_dl_image>\""}""}}]}"
"193","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver showing signs of fatigue and yawning with eyes closed. Expected: alert_type should be 'fatigue' after sufficient frames indicate fatigue. Pass if the alert is generated; fail if no alert is generated despite signs of fatigue and yawning with eyes closed.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_43"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""fatigue_yawning_eyes_closed_frame1\"", \""fatigue_yawning_eyes_closed_frame2\""]}""}}]}"
"194","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a DL photo that is pixelated. Expected: 400 status code with verdict not 'valid'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_44"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Taylor Bronze\"", \""age\"": 43, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_44_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_pixelated_dl_image>\""}""}}]}"
"195","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver showing signs of fatigue and yawning with eyes open. Expected: alert_type should be 'fatigue' after sufficient frames indicate fatigue. Pass if the alert is generated; fail if no alert is generated despite signs of fatigue and yawning with eyes open.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_45"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""fatigue_yawning_eyes_open_frame1\"", \""fatigue_yawning_eyes_open_frame2\""]}""}}]}"
"196","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a DL photo that has a shadow. Expected: 400 status code with verdict not 'valid'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_46"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Morgan Copper\"", \""age\"": 44, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_46_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_shadow_dl_image>\""}""}}]}"
"197","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver showing signs of fatigue and yawning with head tilted. Expected: alert_type should be 'fatigue' after sufficient frames indicate fatigue. Pass if the alert is generated; fail if no alert is generated despite signs of fatigue and yawning with head tilted.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_47"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""fatigue_yawning_head_tilted_frame1\"", \""fatigue_yawning_head_tilted_frame2\""]}""}}]}"
"198","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a DL photo that is out of focus. Expected: 400 status code with verdict not 'valid'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_48"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Casey Steel\"", \""age\"": 45, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_48_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_out_of_focus_dl_image>\""}""}}]}"
"199","Model Accuracy & Regression Testing","Precondition: Ensure temporal_attention_lstm.pth model is loaded. Input: Start a WebSocket connection to /api/stream and send frames with a driver showing signs of fatigue and yawning with head straight. Expected: alert_type should be 'fatigue' after sufficient frames indicate fatigue. Pass if the alert is generated; fail if no alert is generated despite signs of fatigue and yawning with head straight.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_49"",""type"":""function"",""function"":{""name"":""start_stream_connection"",""arguments"":""{\""driver_id\"": \""ABC123\"", \""frames\"": [\""fatigue_yawning_head_straight_frame1\"", \""fatigue_yawning_head_straight_frame2\""]}""}}]}"
"200","Model Accuracy & Regression Testing","Precondition: Ensure both face_landmarker.task and arcface.onnx models are loaded. Input: POST /api/login/register with a valid name, age, and base64-encoded face image, then POST /api/login/verify-dl with a DL photo that is cropped. Expected: 400 status code with verdict not 'valid'. Pass if the response matches the expected output; fail if it returns any other status code.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_50"",""type"":""function"",""function"":{""name"":""call_register_endpoint"",""arguments"":""{\""name\"": \""Jordan Iron\"", \""age\"": 46, \""image_base64\"": \""<base64_encoded_image>\""}""}},{""id"":""call_50_verify_dl"",""type"":""function"",""function"":{""name"":""call_verify_dl_endpoint"",""arguments"":""{\""pending_id\"": \""valid_pending_id\"", \""image\"": \""<base64_encoded_cropped_dl_image>\""}""}}]}"
"201","Hallucination & Fabrication Testing","Precondition: Ensure the ArcFace and MediaPipe models are loaded. Input: POST a face image of a known driver to /api/login/. Expected: The system returns a 200 status with correct driver_id, driver_name, and age. Pass if the response matches the expected output; fail if it returns a 401 or 503 error., {""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_1"", ""type"": ""function"", ""function"": {""name"": ""call_driver_login"", ""arguments"": ""{\""driver_id\"": \""\","\""""image\"""": \""""<base64_encoded_image>\""""}""""}}]}"""
"202","Hallucination & Fabrication Testing","Precondition: ArcFace model is missing. Input: POST a face image to /api/login/. Expected: The system returns a 503 error indicating the service is unavailable. Pass if the response is 503; fail if any other status code is returned., {""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_2"", ""type"": ""function"", ""function"": {""name"": ""call_driver_login"", ""arguments"": ""{\""driver_id\"": \""\","\""""image\"""": \""""<base64_encoded_image>\""""}""""}}]}"""
"203","Hallucination & Fabrication Testing","Precondition: Ensure the system is running with all models loaded. Input: POST a face image with no detectable face to /api/login/. Expected: The system returns a 400 error with a message indicating no face detected. Pass if the response is 400 with the correct message; fail if any other status code or message is returned., {""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_3"", ""type"": ""function"", ""function"": {""name"": ""call_driver_login"", ""arguments"": ""{\""driver_id\"": \""\","\""""image\"""": \""""<base64_encoded_image_with_no_face>\""""}""""}}]}"""
"204","Hallucination & Fabrication Testing","Precondition: Ensure the distraction detection model is loaded. Input: Connect to the WebSocket /api/stream?driver_id=<id> and send frames with a face looking away. Expected: The system should not generate false distraction alerts. Pass if no alerts are generated; fail if any distraction alert is issued.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_4"",""type"":""function"",""function"":{""name"":""connect_stream_websocket"",""arguments"":""{\""driver_id\"": \""<id>\""}""}}]}"
"205","Hallucination & Fabrication Testing","Precondition: Ensure the YOLO model is loaded. Input: POST a clear driving license photo to /api/login/verify-dl with a valid pending_id. Expected: The system returns a 200 status with extracted DL number and validity. Pass if the response matches the expected output; fail if it returns a 400 or 500 error.","{""role"":""assistant"",""tool_calls"":[{""id"":""call_5"",""type"":""function"",""function"":{""name"":""call_verify_dl"",""arguments"":""{\""pending_id\"": \""<valid_pending_id>\"", \""image\"": \""<clear_dl_photo>\""}""}}]}"
"206","Hallucination & Fabrication Testing","Precondition: Ensure the system is running with all models loaded. Input: POST a corrupted image file to /api/login/. Expected: The system returns a 400 error with a message indicating image decode failure. Pass if the response is 400 with the correct message; fail if any other status code or message is returned., {""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_6"", ""type"": ""function"", ""function"": {""name"": ""call_driver_login"", ""arguments"": ""{\""driver_id\"": \""\","\""""image\"""": \""""<corrupted_image_file>\""""}""""}}]}"""
"207","Hallucination & Fabrication Testing","Precondition: Ensure the system is running with all models loaded. Input: POST a face image of an unregistered driver to /api/login/. Expected: The system returns a 401 error indicating the face is not recognized. Pass if the response is 401; fail if any other status code is returned., {""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_7"", ""type"": ""function"", ""function"": {""name"": ""call_driver_login"", ""arguments"": ""{\""driver_id\"": \""\","\""""image\"""": \""""<unregistered_face_image>\""""}""""}}]}"""
"208","Hallucination & Fabrication Testing","Precondition: Ensure the system is running with all models loaded. Input: POST a face image smaller than 50x50 pixels to /api/login/. Expected: The system returns a 400 error with a message indicating no face detected due to small size. Pass if the response is 400 with the correct message; fail if any other status code or message is returned., {""role"": ""assistant"", ""tool_calls"": [{""id"": ""call_8"", ""type"": ""function"", ""function"": {""name"": ""call_driver_login"", ""arguments"": ""{\""driver_id\"": \""\","\""""image\"""": \""""<small_face_image>\""""}""""}}]}"""
